tweet_id,user_id,username,tweet_text,created_at,location,lang,source,reply_count,retweet_count,like_count,quote_count,hashtags,urls,mentions,referenced_tweet_type,reference_reply_count,reference_retweet_count,reference_like_count,reference_quote_count,user_profile_url,tweet_url,reference_user_profile_url,reference_tweet_url
1590510432347095042,1193925099424034818,vitinleao1,scottie barnes modo gorilão tá imparavel mlk KKKKKKKKK🦍🦍🦍🦍,2022-11-09 20:03:31-05:00,N/A,Portuguese (pt),Twitter for iPhone,0,0,1,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/vitinleao1,https://twitter.com/vitinleao1/status/1590510432347095042,N/A,N/A
1590509164861980677,1122987248146841602,b0nerpills,scottie barnes is sooo talented,2022-11-09 19:58:29-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/b0nerpills,https://twitter.com/b0nerpills/status/1590509164861980677,N/A,N/A
1590508944686198785,3416440551,Mrs_Eng1ish,RT @BleacherReport: SCOTTIE BARNES OH MY GOODNESS 🤯 https://t.co/MhSSkU8v9D,2022-11-09 19:57:37-05:00,N/A,English (en),Twitter for iPhone,0,1435,0,0,N/A,https://twitter.com/BleacherReport/status/1589811755617644544/video/1,@BleacherReport (user_id: 890891),retweeted,175,1435,12131,297,https://twitter.com/Mrs_Eng1ish,https://twitter.com/Mrs_Eng1ish/status/1590508944686198785,https://twitter.com/BleacherReport,https://twitter.com/BleacherReport/status/1589811755617644544
1590508725600944130,1373765766743523328,AstrosChampions,why is jalen guarding scottie barnes 😭😭,2022-11-09 19:56:45-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/AstrosChampions,https://twitter.com/AstrosChampions/status/1590508725600944130,N/A,N/A
1590508550140604420,1310399457796685824,chumabucket,"Stop comparing Franz to bums like Harrison Barnes, Gordon Hayward, Scottie Barnes, etc.

Top 45 player in the NBA",2022-11-09 19:56:03-05:00,N/A,English (en),Twitter for iPhone,0,0,5,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/chumabucket,https://twitter.com/chumabucket/status/1590508550140604420,N/A,N/A
1590508251401302016,1143204314,Nathancio,"Scottie Barnes
eu te amo❤️",2022-11-09 19:54:52-05:00,N/A,Italian (it),Twitter for iPhone,0,0,0,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/Nathancio,https://twitter.com/Nathancio/status/1590508251401302016,N/A,N/A
1590508068344733696,791446203288264704,DaniloRTZ,Scottie barnes slander https://t.co/5VBTTVpj2c,2022-11-09 19:54:08-05:00,N/A,Danish (da),Twitter for Android,0,0,0,0,N/A,https://twitter.com/TasteOfNiy/status/1590173538350399488,N/A,quoted,282,2954,16107,1481,https://twitter.com/DaniloRTZ,https://twitter.com/DaniloRTZ/status/1590508068344733696,https://twitter.com/TasteOfNiy,https://twitter.com/TasteOfNiy/status/1590173538350399488
1590507847468879873,980847091667951616,rashadlanders1,"List of”My Guys” since I got in the draft game⬇️
-Tyrese Haliburton 
-Scottie Barnes (since 8th grade) 
-Jarace Walker (Since 9th) (Houston)
-Matas Buzelis (5⭐️#11) (G-Leage Ignite Commit)",2022-11-09 19:53:15-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,N/A,https://twitter.com/TasteOfNiy/status/1590173538350399488,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/rashadlanders1,https://twitter.com/rashadlanders1/status/1590507847468879873,N/A,N/A
1590507465036402688,23450303,DCHNPod,Reminds me of Scottie Barnes though they have different frames https://t.co/VkFtpgKghe,2022-11-09 19:51:44-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,N/A,https://twitter.com/thehoopcentral/status/1590506349313806336,N/A,quoted,37,294,3054,87,https://twitter.com/DCHNPod,https://twitter.com/DCHNPod/status/1590507465036402688,https://twitter.com/TheHoopCentral,https://twitter.com/TheHoopCentral/status/1590506349313806336
1590507171305119744,731683840582946816,SlamDunkBra,"Eu não aguento mais ver o Scottie Barnes só passando a bola, ficando no corner e/ou fazendo corta luz.

Solta a coleira do moleque, Nurse.

#WeTheNorth",2022-11-09 19:50:34-05:00,N/A,Portuguese (pt),Twitter Web App,0,0,0,0,#WeTheNorth,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/SlamDunkBra,https://twitter.com/SlamDunkBra/status/1590507171305119744,N/A,N/A
